id,dia_0,dia_1,dia_2,dia_3,dia_4,dia_5,dia_6,dia_7,miembros
695,8,68,63,14,81,55,53,31,4
696,46,11,69,96,67,89,53,66,4
697,85,66,59,9,68,18,73,31,4
698,10,68,53,52,32,18,15,27,3
699,35,31,41,11,99,19,80,55,3
700,14,10,54,33,56,89,80,12,7
701,8,74,70,67,53,1,19,4,3
702,7,89,4,76,24,13,3,38,4
703,66,56,31,25,81,89,2,45,3
704,60,1,12,17,45,47,81,77,4
705,14,87,10,12,75,1,20,55,4
706,95,24,18,68,60,38,11,39,3
707,18,16,99,48,87,46,69,11,2
708,46,17,74,6,1,23,24,25,7
709,39,98,26,54,38,33,87,86,4
710,39,32,4,86,98,26,95,9,2
711,14,60,4,25,54,33,79,1,7
712,1,36,21,7,60,42,24,14,4
713,25,66,53,84,28,32,16,31,5
714,10,38,66,60,55,24,52,96,3
715,33,58,49,88,96,67,95,40,7
716,49,68,96,1,32,18,23,81,6
717,66,17,7,58,24,46,39,47,7
718,31,3,25,88,24,10,30,1,5
719,1,32,73,89,36,76,8,81,7
720,53,8,60,84,22,75,39,10,4
721,45,24,34,36,35,52,3,10,2
722,19,47,1,59,49,28,88,87,3
723,92,14,47,75,4,24,95,66,5
724,81,95,57,31,6,59,60,16,5
725,69,1,9,11,17,88,45,33,5
726,18,49,38,16,14,75,3,82,2
727,3,42,98,43,1,53,58,52,3
728,10,6,94,76,80,95,68,40,7
729,32,5,94,15,1,53,24,26,6
730,17,1,40,20,11,89,18,50,2
731,68,80,1,73,25,17,37,47,3
732,10,92,31,12,81,87,24,53,4
733,1,50,60,48,26,45,74,29,4
734,8,56,38,73,26,53,51,75,5
735,17,74,67,22,21,25,4,88,4
736,80,79,92,26,20,40,83,61,4
737,12,68,87,3,28,46,81,86,5
738,87,50,86,5,74,97,46,25,6
739,65,54,68,48,25,45,27,88,2
740,1,61,31,3,24,19,45,4,3
741,81,14,45,46,68,27,47,50,3
742,99,37,1,81,15,80,60,73,4
743,11,65,40,24,45,88,4,32,2
744,41,54,32,28,16,19,4,22,2
745,25,1,3,8,87,91,50,18,5
746,60,46,6,32,68,66,88,47,2
747,25,39,26,36,11,19,75,3,2
748,46,80,44,3,19,29,75,94,4
749,65,5,8,19,48,38,10,73,2
750,96,39,1,55,44,56,31,53,4
751,54,18,95,82,60,10,71,22,8
752,4,26,36,66,96,47,31,33,5
753,30,90,60,21,31,67,42,16,3
754,36,4,33,1,43,38,41,96,6
755,12,54,3,73,46,39,4,1,7
756,4,61,25,46,68,52,75,47,3
757,73,26,68,13,24,25,35,10,2
758,22,19,40,1,45,18,59,33,7
759,97,10,5,71,4,88,25,1,3
760,23,1,22,75,18,3,81,54,5
761,48,67,82,38,71,19,12,53,3
762,87,94,18,76,34,3,26,74,4
763,17,47,1,79,40,7,94,8,2
764,4,46,11,1,24,33,49,39,6
765,32,89,67,18,56,49,1,6,4
766,16,54,81,23,96,5,18,47,3
767,82,75,26,19,94,18,57,73,3
768,87,92,95,46,60,1,54,40,5
769,94,44,66,31,1,10,8,57,4
770,25,28,66,7,20,93,1,74,2
771,45,91,9,55,81,1,40,36,5
772,12,59,53,96,39,52,61,17,4
773,2,40,47,68,96,15,5,61,2
774,26,6,88,59,1,11,54,12,4
775,99,73,10,70,96,39,1,45,2
776,1,74,84,54,39,70,41,95,4
777,46,1,94,26,58,28,33,38,2
778,3,18,17,32,53,34,19,25,4
779,67,7,38,53,40,45,73,17,4
780,77,96,60,17,9,32,28,12,4
781,9,42,38,19,74,50,39,53,4
782,67,50,6,15,40,74,38,32,2
783,52,1,96,3,27,45,13,88,2
784,75,1,80,11,15,25,21,63,3
785,73,56,19,38,11,60,68,24,8
786,96,33,14,31,20,46,88,53,3
787,6,81,87,85,33,17,45,1,7
788,19,15,95,43,58,25,38,7,4
789,1,52,31,66,17,24,80,82,5
790,59,52,22,33,87,94,89,1,4
791,5,3,17,30,59,10,26,22,3
792,88,75,1,95,47,64,10,11,2
793,100,26,12,1,5,11,10,82,6
794,32,17,8,19,80,1,39,89,3
795,1,30,13,9,6,43,76,38,4
796,81,4,49,5,21,56,87,54,4
797,1,3,77,34,95,74,4,5,2
798,45,35,25,20,3,4,5,74,5
799,3,68,9,23,28,24,52,18,8
800,57,25,54,10,33,47,4,26,5
801,17,5,87,4,1,81,32,29,4
802,1,3,13,66,40,19,16,82,4
803,19,24,2,60,8,53,25,89,4
804,57,52,12,15,82,58,68,5,5
805,1,11,38,66,26,49,12,73,4
806,49,25,75,53,48,82,23,1,8
807,31,72,40,4,17,47,58,39,4
808,52,40,5,1,90,12,96,29,3
809,2,89,1,12,42,41,67,6,2
810,69,46,1,3,25,13,66,22,3
811,75,94,14,52,1,53,5,37,3
812,95,68,40,18,25,94,43,1,5
813,53,17,78,13,29,19,73,1,4
814,27,59,47,80,26,32,73,100,4
815,1,88,11,32,3,10,73,18,2
816,54,14,22,52,1,94,87,13,4
817,53,74,89,4,7,87,24,71,4
818,4,1,47,56,10,38,36,32,5
819,32,38,61,68,37,23,60,33,8
820,33,90,54,9,71,89,96,59,2
821,36,18,45,46,39,26,53,43,6
822,34,31,68,82,24,4,33,89,7
823,35,39,2,68,97,95,24,10,3
824,60,8,61,25,16,49,89,57,8
825,89,29,52,39,1,25,28,11,5
826,28,32,1,95,19,40,89,3,3
827,5,71,82,12,60,87,59,80,4
828,80,73,88,67,17,66,89,46,4
829,70,15,26,33,61,47,32,24,3
830,36,12,61,53,51,5,26,45,4
831,8,28,54,12,48,32,46,45,6
832,41,96,9,88,1,89,10,26,3
833,1,46,25,19,82,47,54,20,2
834,56,5,87,23,3,47,12,74,3
835,17,8,1,47,33,66,39,59,3
836,31,1,13,5,39,30,67,6,5
837,87,73,1,45,3,60,37,53,5
838,94,68,24,59,3,26,47,6,5
839,12,66,29,68,1,75,60,96,4
840,24,25,61,3,16,26,5,1,5
841,10,92,39,6,66,40,57,4,5
842,69,1,82,58,45,36,24,51,3
843,88,14,60,82,90,71,12,8,5
844,81,69,40,60,50,95,31,54,4
845,5,10,60,96,39,1,73,53,5
846,47,76,40,59,100,15,31,35,7
847,95,1,68,74,9,19,61,91,7
848,39,42,41,82,1,74,33,87,4
849,50,5,12,45,34,28,40,39,5
850,19,95,57,53,68,4,38,51,2
851,13,1,75,25,47,89,34,87,3
852,31,82,23,89,5,94,66,34,4
853,55,34,73,65,31,1,64,94,4
854,14,25,66,35,60,47,24,11,2
855,51,60,6,87,94,75,29,1,4
856,12,70,13,1,60,5,78,66,4
857,11,95,28,26,24,8,36,59,6
858,1,60,19,75,74,18,6,31,2
859,24,9,40,25,3,36,55,83,5
860,55,27,67,75,17,5,54,11,6
861,57,81,44,19,94,48,46,6,5
862,1,59,12,85,51,29,74,3,2
863,82,1,73,53,39,44,51,2,6
864,4,9,91,17,20,31,12,6,2
865,19,1,8,24,42,31,60,33,5
866,24,38,68,48,87,55,81,45,4
867,3,67,1,68,61,45,31,40,4
868,33,52,11,81,17,45,73,10,6
869,11,45,15,52,54,80,59,53,3
870,53,57,40,14,27,32,22,12,8
871,94,89,16,100,33,7,11,21,6
872,11,81,54,75,18,46,20,49,4
873,5,1,2,54,32,15,41,74,8
874,23,60,48,4,1,12,18,89,8
875,82,96,5,22,3,80,10,72,4
876,5,97,13,2,1,59,33,21,5
877,49,63,11,3,19,25,47,38,5
878,4,40,11,47,38,88,1,75,8
879,65,73,67,1,5,52,12,90,3
880,53,40,94,59,75,81,11,23,5
881,41,20,30,12,32,31,11,52,2
882,47,77,67,96,74,36,5,39,3
883,1,82,74,17,10,5,95,33,4
884,33,1,12,42,18,17,56,24,4
885,6,33,4,1,8,25,26,75,3
886,81,12,75,89,25,14,4,19,3
887,83,87,88,39,23,8,1,3,2
888,25,30,1,16,42,39,31,40,3
889,99,60,51,18,29,74,32,100,3
890,65,4,19,54,46,96,80,26,6
891,1,95,18,52,32,10,96,79,4
892,1,17,12,31,62,89,61,3,4
893,63,33,1,10,39,52,80,88,6
894,78,10,23,11,57,5,73,24,2
895,11,33,44,12,56,84,1,17,5
896,29,11,34,14,4,53,1,72,8
897,1,67,52,13,84,30,24,74,4
898,26,1,25,73,40,96,80,53,4
899,81,67,11,82,12,6,26,89,4
900,73,67,14,20,19,45,38,34,2
901,7,5,25,88,39,1,47,52,5
902,33,47,27,19,74,99,1,15,3
903,19,66,16,73,31,33,81,17,6
904,24,47,46,82,45,89,98,40,4
905,5,41,81,89,80,12,88,94,2
906,73,94,68,4,40,26,10,27,3
907,34,19,52,10,2,40,88,5,5
908,95,90,63,11,3,1,34,96,4
909,52,36,16,31,33,19,74,3,4
910,46,57,50,47,5,19,81,52,3
911,10,18,32,54,38,1,96,25,5
912,68,74,87,67,1,91,46,66,6
913,1,59,45,3,18,23,89,5,5
914,94,1,60,75,15,54,97,73,6
915,1,55,33,68,90,87,44,21,4
916,81,1,66,33,5,80,94,75,7
917,60,31,4,46,8,14,61,21,4
918,1,11,26,51,82,43,37,54,4
919,68,99,36,16,39,1,82,25,3
920,26,35,5,20,78,33,82,11,3
921,31,1,20,54,32,94,82,57,2
922,95,6,26,1,89,40,3,100,4
923,96,51,17,67,1,35,61,21,6
924,43,67,89,48,1,4,87,10,3
925,71,74,26,59,47,77,54,64,3
926,33,18,53,73,59,41,60,11,6
927,1,74,59,54,73,32,57,95,4
928,40,86,3,68,26,5,72,36,3
929,18,69,64,38,15,1,60,53,3
930,2,22,95,46,1,32,66,78,4
931,35,5,40,96,10,45,4,87,2
932,12,4,11,95,80,94,28,1,2
933,1,73,26,10,84,27,24,21,6
934,38,68,80,3,43,13,88,67,2
935,26,8,88,16,67,1,87,94,3
936,31,59,5,63,71,70,96,39,3
937,27,3,22,57,40,1,80,26,4
938,46,88,10,53,83,92,12,11,6
939,45,37,1,3,38,46,60,40,8
940,31,74,73,47,87,4,12,46,5
941,23,90,15,77,76,80,6,54,4
942,57,25,61,6,82,52,5,72,3
943,82,38,87,26,61,3,17,39,6
944,87,18,25,46,38,17,26,19,4
945,74,22,95,1,55,42,3,4,7
946,54,3,72,14,4,68,1,2,5
947,28,80,95,88,75,25,12,38,6
948,38,53,84,11,1,51,18,26,6
949,1,86,75,82,6,46,17,87,5
950,20,52,27,79,46,47,15,8,6
951,88,8,45,3,1,31,46,18,3
952,54,11,39,13,18,30,87,49,6
953,46,74,26,54,32,9,68,14,3
954,80,1,55,10,6,94,78,31,5
955,63,89,73,12,21,49,59,33,4
956,66,16,10,24,38,74,52,1,5
957,16,35,24,42,17,22,53,50,4
958,24,54,39,61,10,48,96,68,8
959,42,87,61,88,44,1,80,75,5
960,50,13,66,41,58,5,1,46,4
961,53,58,88,90,25,11,52,12,6
962,44,5,38,66,47,51,59,46,5
963,33,47,30,82,40,25,13,74,2
964,1,75,17,73,52,5,24,18,2
965,61,45,82,83,10,94,25,39,5
966,59,60,6,47,17,1,24,8,5
967,40,80,88,63,23,96,3,95,5
968,2,19,68,7,46,59,81,52,5
969,1,75,86,15,3,5,93,95,4
970,97,24,34,4,96,1,80,68,3
971,5,13,3,17,30,38,46,15,6
972,90,18,17,33,12,31,25,46,5
973,82,25,60,87,22,17,19,3,2
974,44,24,60,1,17,75,31,46,4
975,1,61,59,82,22,40,25,23,3
976,18,81,41,89,95,4,45,52,4
977,54,7,61,73,25,10,65,4,3
978,59,25,10,68,87,1,81,49,4
979,4,1,19,10,94,8,31,61,4
980,38,18,47,75,17,48,31,94,4
981,12,24,75,1,33,60,46,68,5
982,1,14,17,82,19,12,32,24,3
983,96,4,5,94,1,95,50,21,2
984,2,66,40,94,10,81,84,8,5
985,44,67,27,93,71,1,12,17,3
986,82,76,39,78,1,53,4,40,7
987,87,41,57,22,75,12,38,32,4
988,11,86,53,40,26,73,4,49,2
989,1,62,97,95,19,24,32,7,2
990,50,29,26,31,71,22,5,59,5
991,75,20,23,82,69,1,68,17,5
992,54,67,28,32,13,41,11,31,5
993,46,18,24,61,38,41,11,7,5
994,39,25,4,17,74,38,41,63,3
995,35,59,37,19,24,11,17,8,4
996,57,15,37,32,53,35,54,40,5
997,50,89,60,26,95,10,52,4,2
998,3,31,66,18,14,42,17,20,2
999,80,52,82,87,88,1,12,47,4
1000,25,30,23,12,1,18,6,19,6
1001,25,12,20,9,67,38,96,87,5
1002,46,5,56,21,70,54,23,38,3
1003,29,59,81,13,11,1,54,91,3
1004,45,1,87,60,17,6,28,18,2
1005,31,75,45,3,10,5,68,52,5
1006,95,96,74,88,1,67,12,56,6
1007,1,12,11,69,13,10,47,19,2
1008,73,39,1,45,5,79,43,49,4
1009,75,42,26,98,37,30,10,85,2
1010,46,19,45,95,14,24,30,39,4
1011,24,1,50,38,87,27,33,29,3
1012,67,46,35,1,39,77,40,62,7
1013,11,24,38,4,7,81,10,3,3
1014,52,59,30,12,3,92,66,1,4
1015,1,17,9,53,3,94,34,19,4
1016,17,9,16,24,50,68,14,94,5
1017,5,73,29,40,6,49,66,96,4
1018,16,66,53,40,52,25,29,54,4
1019,75,18,1,3,90,95,81,48,3
1020,60,54,28,67,46,29,59,52,5
1021,75,5,4,11,94,37,82,53,3
1022,73,45,38,75,100,19,46,81,6
1023,60,52,74,5,46,68,40,78,3
1024,24,1,54,18,44,11,7,87,4
1025,71,10,46,18,12,5,47,27,6
1026,18,16,49,53,39,40,82,29,2
1027,54,39,95,74,70,81,24,22,3
1028,13,45,1,21,88,73,89,87,4
1029,41,12,32,40,61,3,67,89,5
1030,59,83,66,46,13,50,12,14,4
1031,94,30,52,9,17,26,3,32,5
1032,5,73,82,67,33,39,1,31,3
1033,52,1,46,32,88,82,39,5,3
1034,17,58,73,1,81,67,26,11,6
1035,40,1,2,18,17,14,12,42,4
1036,25,7,94,34,4,36,5,1,5
1037,66,45,53,23,88,82,67,86,2
1038,94,40,29,58,12,9,35,18,4
1039,66,88,11,47,33,73,25,22,4
1040,23,4,59,2,33,12,91,73,4
1041,96,94,5,95,89,11,13,80,4
1042,15,24,81,89,39,19,18,35,6
1043,16,1,23,21,61,19,25,80,4
1044,68,35,61,47,11,32,19,96,5
1045,73,20,53,39,60,96,59,87,4
1046,54,13,39,11,40,94,63,50,2
1047,15,9,1,18,87,19,27,31,4
1048,17,72,74,34,19,2,26,43,3
1049,31,3,25,67,14,55,19,7,3
1050,81,74,78,80,10,59,90,32,4
1051,59,3,61,12,41,14,17,96,4
1052,1,33,9,10,7,67,53,74,5
1053,33,95,84,28,73,1,36,25,4
1054,31,9,87,60,65,98,86,55,4
1055,81,46,15,2,19,17,62,10,3
1056,27,10,55,87,13,64,33,62,3
1057,17,72,56,71,68,34,42,25,5
1058,40,79,10,45,19,89,98,100,4
1059,1,40,75,38,14,68,60,11,2
1060,23,66,82,39,16,1,67,90,5
1061,65,2,94,21,25,3,5,68,4
1062,24,99,39,75,1,55,25,36,5
1063,25,1,87,56,82,98,70,52,2
1064,75,11,68,23,60,61,1,95,5
1065,1,88,68,77,59,19,36,24,3
1066,2,54,17,59,95,94,31,10,2
1067,75,52,59,39,3,70,58,24,5
1068,3,31,5,11,33,25,80,89,5
1069,25,31,98,21,6,12,8,80,4
1070,49,61,94,51,32,43,11,14,6
1071,94,66,88,75,25,20,43,77,4
1072,59,32,88,9,82,26,87,78,5
1073,32,31,81,29,20,75,52,1,4
1074,54,11,86,95,94,73,38,89,7
1075,1,52,8,67,38,18,2,79,4
1076,26,27,52,25,75,81,66,32,4
1077,14,24,88,7,12,46,8,21,4
1078,54,59,19,28,32,50,42,34,6
1079,59,61,95,1,18,53,80,100,2
1080,18,61,11,95,58,13,72,56,3
1081,25,68,13,10,20,33,15,73,8
1082,1,80,33,76,53,85,45,73,3
1083,96,47,50,60,57,54,46,15,2
1084,89,60,62,21,74,33,20,39,6
1085,31,75,24,68,21,40,12,6,2
1086,20,1,59,37,46,98,74,73,5
1087,22,40,1,88,32,31,53,59,5
1088,88,21,19,62,29,92,65,73,5
1089,60,46,81,57,42,87,11,1,3
1090,91,60,26,1,48,98,70,96,7
1091,56,10,15,67,82,66,3,73,4
1092,33,11,59,1,88,26,46,62,5
1093,67,52,48,80,82,1,60,40,4
1094,19,38,1,53,90,62,4,54,6
1095,19,17,1,46,20,36,73,27,7
1096,26,1,14,20,7,96,18,11,4
1097,55,54,5,58,17,1,25,59,7
1098,16,51,40,15,100,32,60,59,2
1099,59,5,60,81,1,34,54,52,8
1100,67,47,4,18,24,13,5,33,4
1101,68,75,32,46,1,26,43,17,2
1102,12,89,4,62,5,81,53,38,3
1103,74,28,1,15,30,17,24,62,4
1104,3,10,25,22,31,52,81,5,5
1105,45,33,2,20,59,18,47,28,4
1106,3,8,62,93,22,94,58,26,4
1107,75,10,61,11,42,55,51,47,4
1108,25,4,47,89,53,19,75,45,6
1109,5,47,22,81,1,17,95,18,6
1110,1,12,39,46,90,7,48,82,8
1111,100,49,14,12,74,46,76,41,2
1112,67,39,8,13,17,41,33,9,5
1113,18,62,10,1,11,31,38,17,5
1114,11,7,38,40,26,35,52,58,4
1115,31,96,7,15,74,52,97,1,5
1116,74,26,68,54,91,61,52,23,4
1117,1,7,16,10,34,3,36,15,4
1118,73,39,74,54,19,82,35,17,4
1119,34,14,61,10,73,68,11,54,4
1120,33,39,15,37,68,52,88,67,8
1121,94,97,87,39,25,64,40,26,2
1122,64,45,25,48,13,19,54,87,6
1123,26,40,61,51,12,36,7,56,4
1124,96,33,40,17,53,54,32,84,3
1125,26,39,23,67,24,89,18,87,2
1126,21,52,1,80,31,5,75,82,4
1127,68,16,71,95,18,88,25,39,2
1128,14,95,4,16,26,81,76,97,4
1129,1,32,80,19,96,79,28,22,4
1130,12,33,24,47,20,1,17,77,3
1131,24,73,12,66,95,2,38,6,7
1132,46,28,74,10,32,45,33,1,3
1133,3,89,52,45,1,18,14,41,2
1134,59,32,3,87,31,52,67,26,2
1135,67,17,100,44,54,33,46,45,5
1136,32,4,45,11,17,97,5,8,7
1137,3,80,95,42,52,76,10,67,8
1138,10,1,74,94,16,45,17,52,3
1139,42,73,68,74,50,90,19,20,6
1140,52,1,11,36,4,38,14,94,4
1141,87,9,25,2,18,71,95,54,5
1142,3,40,68,88,1,95,28,32,4
1143,87,10,60,59,17,4,12,94,4
1144,3,5,61,15,23,68,10,24,4
1145,53,18,55,96,43,32,29,75,5
1146,81,27,29,38,10,25,60,77,6
1147,47,62,4,18,55,10,68,1,6
1148,26,41,35,53,19,54,65,73,2
1149,59,12,74,3,31,17,1,94,3
1150,23,53,2,19,1,3,38,97,4
1151,25,45,14,48,73,1,90,12,2
1152,19,1,76,29,64,45,12,18,6
1153,17,75,66,77,38,11,10,31,5
1154,88,99,1,56,31,55,73,32,6
1155,75,48,1,95,2,52,32,10,2
1156,96,73,8,1,26,14,11,95,2
1157,15,49,1,40,94,31,29,4,3
1158,39,59,1,92,13,31,11,4,8
1159,17,12,26,95,66,34,80,19,4
1160,96,31,52,76,1,15,7,80,2
1161,60,67,33,4,81,23,59,89,5
1162,17,65,28,94,90,40,95,1,5
1163,18,1,52,53,61,99,41,31,5
1164,46,44,18,32,1,54,2,38,5
1165,79,94,32,5,50,1,26,75,3
1166,36,57,82,49,28,1,46,31,5
1167,61,1,25,83,17,3,32,16,5
1168,17,1,66,74,54,52,88,12,5
1169,1,25,47,32,40,4,80,7,4
1170,16,10,30,45,31,57,37,86,3
1171,80,1,55,32,54,57,24,78,6
1172,2,66,75,17,1,68,3,28,5
1173,88,1,55,37,67,16,19,83,5
1174,40,45,10,94,82,12,24,25,4
1175,60,34,10,4,26,3,94,81,5
1176,54,26,1,12,100,66,16,33,8
1177,52,89,13,80,51,61,84,1,2
1178,32,40,10,66,38,74,2,1,4
1179,69,67,47,14,96,10,82,26,3
1180,11,75,95,5,66,94,96,12,4
1181,56,47,75,24,1,20,87,68,5
1182,11,16,18,89,80,1,47,10,3
1183,66,3,82,40,49,51,90,24,3
1184,82,1,95,40,92,96,93,47,3
1185,52,89,33,47,1,60,96,8,4
1186,2,82,67,33,74,19,10,52,7
1187,75,39,11,13,28,19,32,69,4
1188,4,17,82,5,51,80,73,33,6
1189,94,89,32,54,14,33,66,74,8
1190,4,49,26,52,11,59,97,54,7
1191,75,5,43,25,74,19,1,39,5
1192,7,91,71,38,33,31,1,60,8
1193,4,11,48,76,45,1,27,24,4
1194,47,95,24,44,48,87,81,4,5
1195,43,84,88,1,35,66,52,96,2
1196,67,27,25,12,95,34,28,1,4
1197,5,45,25,66,24,40,1,21,4
1198,50,1,81,80,53,11,52,25,3
1199,16,19,8,1,26,52,51,74,4
1200,16,74,47,67,25,75,59,20,4
1201,11,75,96,26,68,33,45,4,6
1202,53,34,82,17,3,12,65,75,3
1203,87,1,100,67,45,59,17,19,3
1204,25,56,5,45,95,14,33,1,5
1205,9,11,31,93,86,73,33,80,4
1206,33,42,31,37,45,21,14,10,3
1207,26,7,25,4,38,45,1,51,2
1208,43,60,53,59,38,96,81,39,2
1209,74,6,22,69,1,30,89,88,7
1210,1,53,52,25,13,100,38,16,5
1211,49,96,24,19,55,3,66,53,2
1212,88,11,59,21,40,12,81,60,6
1213,50,83,67,21,74,40,19,52,3
1214,3,100,1,95,19,68,28,47,3
1215,94,12,89,80,4,11,5,50,3
1216,68,34,41,53,23,13,58,89,4
1217,41,75,24,38,40,58,1,29,4
1218,1,11,19,62,45,14,5,64,4
1219,39,26,24,2,66,78,87,18,4
1220,54,80,60,53,84,74,81,1,3
1221,1,80,77,53,42,12,61,10,5
1222,5,28,81,76,31,26,24,70,3
1223,58,82,88,42,45,36,47,28,6
1224,8,89,45,71,81,39,54,18,4
1225,25,19,31,46,75,1,3,17,4
1226,10,1,12,81,5,87,22,33,3
1227,18,19,22,39,25,32,1,75,5
1228,19,29,45,4,85,1,44,52,5
1229,21,27,58,26,96,33,5,22,4
1230,40,52,73,68,38,39,53,51,4
1231,87,89,82,20,11,59,24,48,5
1232,67,68,33,12,1,17,6,95,4
1233,45,71,89,1,67,96,84,32,2
1234,52,19,73,88,26,51,1,96,3
1235,45,1,32,64,96,75,86,57,6
1236,82,31,81,32,17,75,33,48,5
1237,43,40,29,4,1,32,22,81,3
1238,96,10,95,16,50,45,87,8,2
1239,50,12,61,4,2,26,75,11,3
1240,33,13,89,6,61,10,47,71,2
1241,60,40,46,54,39,87,19,18,4
1242,1,14,96,28,57,22,18,67,4
1243,58,1,44,81,17,88,38,12,3
1244,94,4,52,75,46,26,44,72,6
1245,10,1,5,88,80,46,39,12,4
1246,2,13,87,39,17,38,9,68,2
1247,81,8,3,74,75,61,79,52,2
1248,39,17,5,59,66,32,1,25,4
1249,39,65,17,27,10,1,67,44,7
1250,38,13,11,1,16,21,4,67,4
1251,29,28,20,75,24,26,18,17,4
1252,4,29,24,25,1,11,40,16,3
1253,72,10,24,38,7,94,3,54,2
1254,1,37,11,5,84,60,12,43,2
1255,89,26,93,74,38,55,80,42,6
1256,1,10,73,79,33,4,40,51,4
1257,88,38,12,2,54,47,51,53,6
1258,60,1,87,53,80,93,27,61,4
1259,66,87,32,24,68,45,19,25,2
1260,38,86,1,88,4,46,80,89,3
1261,1,68,27,59,95,26,98,99,4
1262,60,24,16,1,12,3,17,92,3
1263,91,32,82,92,96,24,63,45,4
1264,1,24,98,96,82,34,60,68,2
1265,5,83,13,1,39,54,29,61,3
1266,37,32,95,26,75,83,33,1,3
1267,23,22,43,62,9,39,82,6,4
1268,54,35,44,96,95,48,94,30,8
1269,1,66,28,88,35,10,38,89,6
1270,54,86,28,6,16,81,4,29,4
1271,95,3,21,68,14,18,37,42,5
1272,89,47,24,56,17,8,1,82,4
1273,27,81,55,58,87,49,73,1,8
1274,87,54,53,19,7,59,3,40,3
1275,5,71,30,12,69,82,45,68,5
1276,7,26,24,1,80,25,10,59,7
1277,49,58,67,1,84,45,97,22,5
1278,82,27,21,25,97,2,71,19,4
1279,57,9,53,96,33,10,13,68,7
1280,9,17,5,82,33,65,1,10,5
1281,76,78,13,60,45,90,39,11,2
1282,81,30,15,39,25,62,33,1,4
1283,29,12,46,47,45,22,96,31,4
1284,2,1,19,87,73,24,4,35,5
1285,38,70,73,13,40,60,27,33,5
1286,97,87,49,93,73,15,20,11,2
1287,1,11,39,91,15,99,25,18,4
1288,3,54,74,53,80,73,81,23,3
1289,39,89,80,46,18,1,61,4,4
1290,52,1,25,3,11,38,60,77,3
1291,34,39,73,1,53,38,89,75,4
1292,35,41,12,81,45,28,50,33,6
1293,12,77,62,1,6,17,66,24,3
1294,75,11,52,39,30,6,1,53,4
1295,95,26,22,93,94,92,47,40,5
1296,3,26,32,25,7,34,9,89,4
1297,96,3,10,61,82,31,46,73,5
1298,31,80,16,11,20,9,73,25,4
1299,11,32,39,59,99,9,8,28,4
1300,40,3,81,28,7,9,37,11,2
1301,9,54,53,74,12,23,1,16,4
1302,27,33,75,24,74,68,45,60,7
1303,80,37,46,47,74,3,53,45,3
1304,54,17,58,88,59,89,36,8,3
1305,5,12,40,65,49,38,80,26,6
1306,52,22,66,94,11,7,100,3,2
1307,60,82,73,29,53,96,26,13,6
1308,1,58,29,40,87,14,94,86,3
1309,57,75,88,5,1,96,11,12,2
1310,46,67,52,66,55,19,59,5,4
1311,45,60,6,33,40,67,39,26,4
1312,10,24,96,11,46,1,72,57,5
1313,88,95,56,75,26,38,41,10,2
1314,26,31,33,66,2,5,61,1,4
1315,31,2,52,29,38,54,5,18,4
1316,89,68,33,10,1,45,7,88,3
1317,26,87,27,60,10,31,57,17,4
1318,39,28,31,80,18,90,21,74,2
1319,43,87,79,9,82,11,45,8,4
1320,54,88,45,47,3,27,96,73,4
1321,1,19,16,15,13,45,39,52,4
1322,1,52,46,8,47,51,4,25,3
1323,96,45,54,1,40,31,26,72,5
1324,46,80,33,61,25,89,29,92,4
1325,23,1,40,25,17,34,74,93,5
1326,25,51,69,82,46,32,88,66,5
1327,14,81,12,46,1,16,6,21,4
1328,53,1,16,31,52,24,85,23,2
1329,5,88,3,1,67,15,39,34,4
1330,90,85,70,53,2,18,96,54,4
1331,11,25,92,3,68,88,4,8,8
1332,82,31,22,12,1,46,75,91,3
1333,53,11,54,1,38,10,12,47,4
1334,55,37,38,19,26,10,75,68,5
1335,89,19,71,38,31,39,12,1,4
1336,43,80,63,1,25,60,10,73,3
1337,78,87,46,18,41,3,1,26,6
1338,85,59,81,66,12,74,47,94,3
1339,77,66,87,10,22,24,12,11,4
1340,23,6,24,42,96,8,53,45,2
1341,67,13,1,5,51,18,81,94,4
1342,88,48,25,4,2,38,22,26,3
1343,34,8,24,11,1,17,21,83,3
1344,19,4,52,24,43,15,61,18,3
1345,32,67,24,87,96,11,20,28,5
1346,28,2,54,74,1,14,4,88,4
1347,5,20,29,89,77,1,18,61,3
1348,30,1,89,27,51,60,75,40,2
1349,54,4,50,24,95,36,47,45,3
1350,19,21,80,75,68,8,1,87,2
1351,81,9,50,17,24,75,26,65,4
1352,33,3,87,26,17,12,32,43,4
1353,11,1,29,61,4,23,56,76,8
1354,14,31,1,45,81,32,10,18,3
1355,54,81,59,61,38,57,39,16,3
1356,49,3,48,14,1,53,18,47,5
1357,82,96,22,6,59,47,50,25,3
1358,38,46,22,30,32,17,40,37,3
1359,31,16,75,68,96,8,64,5,8
1360,98,18,1,80,75,28,74,68,6
1361,3,2,20,17,33,4,73,98,3
1362,83,40,69,4,3,31,27,61,7
1363,33,99,40,89,75,76,8,60,4
1364,41,8,4,19,10,23,96,24,3
1365,68,91,82,5,73,53,4,39,2
1366,14,1,44,45,89,54,97,10,2
1367,2,33,59,13,50,25,89,1,2
1368,26,96,7,14,1,41,53,25,6
1369,1,87,93,35,21,40,30,58,3
1370,43,59,68,47,5,88,19,1,3
1371,85,4,96,52,44,1,49,30,4
1372,75,1,94,31,29,10,39,3,5
1373,3,49,13,34,31,45,55,7,2
